Row,Col,Value
0,0,1.0
1,1,1.0
2,2,1.0
3,3,1.0
4,4,1.0
5,5,1.0
5,4,1.0
6,6,1.0
7,7,1.0
7,3,1.0
8,8,1.0
9,9,1.0
10,10,1.0
10,3,1.0
11,11,1.0
11,1,1.0
12,12,1.0
13,13,1.0
14,14,1.0
15,15,1.0
16,16,1.0
16,1,1.0
17,17,1.0
18,18,1.0
18,3,1.0
18,9,1.0
18,17,1.0
19,19,1.0
20,20,1.0
20,17,1.0
21,21,1.0
22,22,1.0
22,12,1.0
23,23,1.0
23,5,1.0
23,13,1.0
24,24,1.0
25,25,1.0
26,26,1.0
26,23,1.0
26,25,1.0
27,27,1.0
27,22,1.0
28,28,1.0
28,0,1.0
29,29,1.0
29,19,1.0
30,30,1.0
31,31,1.0
31,0,1.0
32,32,1.0
33,33,1.0
33,28,1.0
34,34,1.0
34,24,1.0
35,35,1.0
35,12,1.0
35,16,1.0
35,28,1.0
35,29,1.0
36,36,1.0
36,7,1.0
36,18,1.0
36,27,1.0
36,30,1.0
37,37,1.0
37,12,1.0
37,16,1.0
38,38,1.0
38,14,1.0
38,30,1.0
39,39,1.0
40,40,1.0
40,6,1.0
40,13,1.0
40,25,1.0
41,41,1.0
41,29,1.0
42,42,1.0
42,28,1.0
42,35,1.0
43,43,1.0
43,30,1.0
44,44,1.0
44,5,1.0
44,7,1.0
44,8,1.0
44,15,1.0
44,21,1.0
44,31,1.0
44,40,1.0
44,43,1.0
45,45,1.0
45,1,1.0
45,33,1.0
46,46,1.0
46,26,1.0
46,30,1.0
47,47,1.0
47,15,1.0
47,21,1.0
47,31,1.0
47,42,1.0
48,48,1.0
48,8,1.0
48,39,1.0
48,43,1.0
49,49,1.0
49,39,1.0
49,44,1.0
49,45,1.0
50,50,1.0
50,8,1.0
50,10,1.0
50,20,1.0
50,46,1.0
51,51,1.0
51,32,1.0
51,34,1.0
52,52,1.0
53,53,1.0
53,13,1.0
53,17,1.0
54,54,1.0
54,8,1.0
55,55,1.0
55,7,1.0
55,11,1.0
55,28,1.0
55,30,1.0
55,45,1.0
55,52,1.0
56,56,1.0
56,18,1.0
57,57,1.0
57,56,1.0
58,58,1.0
59,59,1.0
59,19,1.0
59,24,1.0
60,60,1.0
60,8,1.0
60,59,1.0
61,61,1.0
61,13,1.0
62,62,1.0
63,63,1.0
63,24,1.0
63,35,1.0
63,39,1.0
63,60,1.0
64,64,1.0
64,21,1.0
64,35,1.0
64,55,1.0
64,62,1.0
65,65,1.0
65,1,1.0
65,10,1.0
65,30,1.0
65,52,1.0
65,58,1.0
66,66,1.0
66,14,1.0
66,22,1.0
66,31,1.0
66,43,1.0
67,67,1.0
67,31,1.0
67,32,1.0
68,68,1.0
68,9,1.0
68,20,1.0
68,38,1.0
68,42,1.0
68,48,1.0
69,69,1.0
69,42,1.0
69,43,1.0
70,70,1.0
70,9,1.0
70,44,1.0
71,71,1.0
71,29,1.0
71,52,1.0
71,59,1.0
72,72,1.0
72,33,1.0
72,34,1.0
72,38,1.0
73,73,1.0
73,9,1.0
73,17,1.0
73,22,1.0
73,47,1.0
73,60,1.0
74,74,1.0
75,75,1.0
75,6,1.0
75,16,1.0
75,55,1.0
76,76,1.0
76,5,1.0
76,9,1.0
76,10,1.0
76,69,1.0
77,77,1.0
77,5,1.0
77,19,1.0
78,78,1.0
78,22,1.0
78,35,1.0
79,79,1.0
79,27,1.0
80,80,1.0
80,18,1.0
80,50,1.0
80,51,1.0
80,78,1.0
81,81,1.0
81,4,1.0
81,8,1.0
81,33,1.0
81,38,1.0
82,82,1.0
82,30,1.0
82,40,1.0
82,53,1.0
83,83,1.0
83,0,1.0
83,41,1.0
83,79,1.0
84,84,1.0
84,7,1.0
84,14,1.0
84,17,1.0
84,40,1.0
84,42,1.0
84,57,1.0
84,62,1.0
85,85,1.0
85,12,1.0
85,17,1.0
85,39,1.0
85,49,1.0
85,53,1.0
85,55,1.0
85,63,1.0
86,86,1.0
86,35,1.0
87,87,1.0
87,6,1.0
87,32,1.0
87,46,1.0
87,48,1.0
87,51,1.0
87,69,1.0
87,77,1.0
88,88,1.0
88,42,1.0
88,63,1.0
89,89,1.0
89,30,1.0
89,38,1.0
89,46,1.0
90,90,1.0
90,9,1.0
90,11,1.0
90,16,1.0
90,43,1.0
90,81,1.0
91,91,1.0
91,19,1.0
91,29,1.0
91,30,1.0
91,40,1.0
91,44,1.0
91,73,1.0
92,92,1.0
92,19,1.0
92,23,1.0
92,35,1.0
92,39,1.0
92,66,1.0
92,68,1.0
92,78,1.0
93,93,1.0
93,11,1.0
93,66,1.0
93,77,1.0
94,94,1.0
94,25,1.0
94,59,1.0
94,84,1.0
95,95,1.0
95,1,1.0
95,5,1.0
95,36,1.0
95,47,1.0
95,90,1.0
96,96,1.0
96,8,1.0
96,20,1.0
96,33,1.0
96,46,1.0
96,48,1.0
96,49,1.0
96,77,1.0
97,97,1.0
97,8,1.0
97,54,1.0
98,98,1.0
98,8,1.0
98,12,1.0
98,26,1.0
98,49,1.0
98,56,1.0
98,60,1.0
98,65,1.0
98,70,1.0
99,99,1.0
99,2,1.0
99,12,1.0
99,19,1.0
99,47,1.0
99,91,1.0
99,92,1.0
