Row,Col,Value
0,0,1.0
1,1,1.0
2,2,1.0
3,3,1.0
3,2,1.0
4,4,1.0
5,5,1.0
5,3,1.0
6,6,1.0
7,7,1.0
7,0,1.0
7,6,1.0
8,8,1.0
8,3,1.0
8,6,1.0
8,7,1.0
9,9,1.0
10,10,1.0
10,4,1.0
11,11,1.0
11,4,1.0
11,6,1.0
12,12,1.0
12,3,1.0
13,13,1.0
13,6,1.0
14,14,1.0
14,3,1.0
14,10,1.0
15,15,1.0
15,3,1.0
15,13,1.0
16,16,1.0
16,5,1.0
16,6,1.0
16,7,1.0
17,17,1.0
17,1,1.0
17,6,1.0
17,9,1.0
18,18,1.0
18,4,1.0
18,17,1.0
19,19,1.0
19,2,1.0
19,5,1.0
19,12,1.0
20,20,1.0
20,8,1.0
20,10,1.0
20,14,1.0
20,17,1.0
20,18,1.0
20,19,1.0
21,21,1.0
21,17,1.0
21,20,1.0
22,22,1.0
22,0,1.0
22,15,1.0
22,16,1.0
22,17,1.0
22,18,1.0
23,23,1.0
23,5,1.0
23,8,1.0
23,11,1.0
23,12,1.0
23,14,1.0
23,20,1.0
23,22,1.0
24,24,1.0
24,10,1.0
24,14,1.0
24,17,1.0
24,22,1.0
25,25,1.0
25,6,1.0
25,21,1.0
25,23,1.0
26,26,1.0
26,1,1.0
26,2,1.0
26,5,1.0
26,6,1.0
26,22,1.0
27,27,1.0
27,14,1.0
27,19,1.0
28,28,1.0
28,2,1.0
28,5,1.0
28,6,1.0
28,10,1.0
28,12,1.0
28,16,1.0
28,17,1.0
28,21,1.0
28,22,1.0
28,27,1.0
29,29,1.0
29,6,1.0
29,8,1.0
29,9,1.0
29,12,1.0
29,14,1.0
29,28,1.0
30,30,1.0
30,1,1.0
30,5,1.0
30,10,1.0
30,14,1.0
30,16,1.0
30,18,1.0
31,31,1.0
31,1,1.0
31,2,1.0
31,4,1.0
31,9,1.0
31,10,1.0
31,14,1.0
31,17,1.0
32,32,1.0
32,4,1.0
32,5,1.0
33,33,1.0
33,1,1.0
33,6,1.0
33,10,1.0
33,16,1.0
33,19,1.0
33,20,1.0
33,21,1.0
33,27,1.0
33,28,1.0
33,32,1.0
34,34,1.0
34,15,1.0
34,17,1.0
34,18,1.0
34,29,1.0
34,32,1.0
35,35,1.0
35,2,1.0
35,5,1.0
35,6,1.0
35,7,1.0
35,22,1.0
35,30,1.0
36,36,1.0
36,3,1.0
36,4,1.0
36,5,1.0
36,6,1.0
36,10,1.0
36,23,1.0
36,29,1.0
36,30,1.0
36,32,1.0
36,35,1.0
37,37,1.0
37,1,1.0
37,4,1.0
37,6,1.0
37,8,1.0
37,10,1.0
37,11,1.0
37,27,1.0
37,33,1.0
37,34,1.0
37,35,1.0
38,38,1.0
38,11,1.0
38,14,1.0
38,29,1.0
38,32,1.0
38,35,1.0
39,39,1.0
39,6,1.0
39,8,1.0
39,10,1.0
39,14,1.0
39,15,1.0
39,21,1.0
39,24,1.0
39,28,1.0
39,32,1.0
40,40,1.0
40,4,1.0
40,11,1.0
40,17,1.0
40,20,1.0
40,25,1.0
40,29,1.0
40,32,1.0
41,41,1.0
41,6,1.0
41,7,1.0
41,13,1.0
41,17,1.0
41,21,1.0
41,26,1.0
41,31,1.0
41,34,1.0
42,42,1.0
42,0,1.0
42,3,1.0
42,10,1.0
42,12,1.0
42,24,1.0
42,26,1.0
42,30,1.0
42,36,1.0
43,43,1.0
43,0,1.0
43,2,1.0
43,6,1.0
43,10,1.0
43,12,1.0
43,16,1.0
43,20,1.0
43,24,1.0
43,25,1.0
43,26,1.0
43,31,1.0
43,40,1.0
44,44,1.0
44,0,1.0
